"River_Basin_Area","Water_Object","Station_Number"," Station_Location","Opening_Year","Monitoring_Type","Longitude_Original","Latitude_Original","Longitude","Latitude"
"Հյուսիսային","Pambak","1","0.5 կմ գյ. Խնկոյանից վերև",1994,"Հղումային","44° 1' 36.174"" E","40° 50' 52.391"" N",44.026715,40.847886
"Հյուսիսային","Pambak","2","0.5 կմ ք. Սպիտակից ներքև",1971,"Գործառնական","44° 17' 48.505"" E","40° 49' 51.889"" N",44.296807,40.83108
"Հյուսիսային","Pambak","3","1 կմ ք. Վանաձորից վերև",1965,"Գործառնական","44° 24' 27.300"" E","40° 50' 48.300"" N",44.407583,40.84675
"Հյուսիսային","Pambak","4","0.5 կմ ք. Վանաձորից ներքև",1965,"Գործառնական","44° 30' 27.700"" E","40° 48' 50.000"" N",44.507694,40.813889
"Հյուսիսային","Debed","5","0.5 կմ Մարցիգետ գետի թափման կետից ներքև",1993,"Գործառնական","44° 39' 12.741"" E","40° 59' 54.916"" N",44.653539,40.998588
"Հյուսիսային","Debed","6","0.5 կմ ք. Այրումից վերև",1974,"Գործառնական","44° 54' 18.150"" E","41° 12' 9.248"" N",44.905042,41.202569
"Հյուսիսային","Debed","7","Սահմանի մոտ",1974,"Աղտոտիչների տեղափոխման","44° 53' 0.200"" E","41° 13' 18.200"" N",44.883389,41.221722
"Հյուսիսային","Dzoraget","8","0.5 կմ ք. Ստեփանավանից վերև",1977,"Հսկողական","44° 22' 53.900"" E","41° 0' 48.400"" N",44.381639,41.013444
"Հյուսիսային","Dzoraget","10","Գետաբերան",1979,"Գործառնական","44° 37' 51.908"" E","40° 57' 28.180"" N",44.631086,40.957828
"Հյուսիսային","Tashir","11","0.5 կմ գյ. Միխայելովկայից վերև",1993,"Հղումային","44° 16' 4.127"" E","41° 10' 8.560"" N",44.267813,41.169044
"Հյուսիսային","Tashir","12","0.5 կմ գյ. Սարատովկայից ներքև",1983,"Հսկողական","44° 20' 19.092"" E","41° 3' 20.382"" N",44.338637,41.055662
"Հյուսիսային","Marz","13","Գետաբերան",1977,"Գործառնական","44° 39' 32.310"" E","40° 59' 1.906"" N",44.658975,40.983863
"Հյուսիսային","Akhtala","14","Գետաբերան",1993,"Գործառնական","44° 46' 45.088"" E","41° 8' 58.797"" N",44.779191,41.149666
"Հյուսիսային","Aghstev","15","1.2 կմ ք. Դիլիջանից վերև",1974,"Գործառնական","44° 49' 4.160"" E","40° 43' 55.436"" N",44.817822,40.732065
"Հյուսիսային","Aghstev","16","0.5 կմ ք. Դիլիջանից ներքև",1974,"Գործառնական","44° 54' 17.269"" E","40° 45' 32.123"" N",44.904797,40.758923
"Հյուսիսային","Aghstev","17","2 կմ ք.Իջևանից վերև",1971,"Գործառնական","45° 7' 29.324"" E","40° 51' 31.970"" N",45.124812,40.85888
"Հյուսիսային","Aghstev","18","2 կմ ք. Իջևանից ներքև",1971,"Գործառնական","45° 9' 33.938"" E","40° 54' 49.567"" N",45.159427,40.913769
"Հյուսիսային","Getik","19","0.5 կմ գյ. Վահանից վերև",1993,"Հղումային","45° 24' 29.400"" E","40° 34' 28.600"" N",45.408167,40.574611
"Հյուսիսային","Getik","20","Գետաբերան",1977,"Գործառնական","45° 1' 17.958"" E","40° 45' 34.969"" N",45.021655,40.759714
"Ախուրյան","Araks","25","2.5 կմ գյ. Շենավանից վերև",1977,"Աղտոտիչների տեղափոխման","43° 45' 10.070"" E","40° 4' 47.340"" N",43.752797,40.079817
"Հրազդան","Araks","26","Հրազդան գետի թափ. կետից վերև",1993,"Աղտոտիչների տեղափոխման","44° 28' 23.948"" E","39° 58' 12.921"" N",44.473319,39.970256
"Հրազդան","Araks","27","Հրազդան գետի թափ. կետից ներքև",1993,"Աղտոտիչների տեղափոխման","44° 29' 0.045"" E","39° 57' 56.766"" N",44.483346,39.965768
"Արարատյան","Araks","28","0.5 կմ ք.Արարատից ներքև",1985,"Աղտոտիչների տեղափոխման","44° 41' 27.335"" E","39° 47' 43.124"" N",44.690926,39.795312
"Հարավային","Araks","29","2 կմ ք. Ագարակից հարավ",1978,"Աղտոտիչների տեղափոխման","46° 9' 38.087"" E","38° 50' 28.327"" N",46.16058,38.841202
"Հարավային","Araks","30","2.5 կմ ք. Ագարակից հարավ-արևելք",1978,"Աղտոտիչների տեղափոխման","46° 13' 11.948"" E","38° 51' 55.896"" N",46.219986,38.865527
"Ախուրյան","Akhuryan","31","1  կմ գյ. Ամասիայից վերև",1993,"Գործառնական","43° 47' 46.865"" E","40° 57' 31.795"" N",43.796351,40.958832
"Ախուրյան","Akhuryan","32","1 կմ գյ. Ամասիայից ներքև",1993,"Գործառնական","43° 47' 15.969"" E","40° 56' 33.601"" N",43.787769,40.942667
"Ախուրյան","Akhuryan","33","0.8 կմ ք. Գյումրիից վերև",1970,"Գործառնական","43° 47' 53.163"" E","40° 48' 15.280"" N",43.798101,40.804244
"Ախուրյան","Akhuryan","34","5 կմ ք. Գյումրիից ներքև",1970,"Գործառնական","43° 47' 14.225"" E","40° 44' 37.685"" N",43.787285,40.743801
"Ախուրյան","Akhuryan","35","0.5 կմ գյ. Բագարանից ներքև",1983,"Գործառնական","43° 39' 6.599"" E","40° 8' 10.236"" N",43.651833,40.136177
"Ախուրյան","Ashotsk","36","0.5 կմ գյ. Մուսայելյանից վերև",1993,"Հսկողական","43° 56' 39.687"" E","40° 59' 11.728"" N",43.944357,40.986591
"Ախուրյան","Ashotsk","37","Գետաբերան",1977,"Գործառնական","43° 49' 24.762"" E","41° 1' 58.082"" N",43.823545,41.032801
"Ախուրյան","Karkachun","38","Գետաբերան",1974,"Գործառնական","43° 47' 38.558"" E","40° 43' 58.075"" N",43.794044,40.732799
"Ախուրյան","Metsamor","40","10 կմ ք. Վաղարշապատից  հարավ",1974,"Գործառնական","44° 16' 31.605"" E","40° 5' 37.615"" N",44.275446,40.093782
